Commodity,2024 Price Prediction,2025 Price Prediction
PADDY(Common),2599.4505494505493,2697.986813186813
PADDY(Grade A),2615.4395604395604,2712.5362637362637
JOWAR(Hybrid),3907.230769230769,4094.0615384615385
JOWAR(Maldandi),3967.5054945054944,4158.03956043956
BAJRA,3055.0,3195.857142857143
RAGI,5025.296703296703,5296.393406593406
MAIZE,2503.32967032967,2598.3736263736264
TUR (ARHAR),8258.516483516483,8556.31868131868
MOONG,9723.505494505494,10107.439560439561
URAD,8040.384615384615,8320.76923076923
GROUNUT,7322.076923076923,7589.63956043956
SUNFLOWER SEED(Yellow),8133.21978021978,8476.468131868132
SOYABEAN (yellow),5431.186813186813,5657.287912087912
SESAMUM,10083.54945054945,10522.241758241758
NIGERSEED,9294.087912087913,9737.547252747254
