Commodity,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2025-26,2026-27
PADDY(Common),1310,1360,1410,1470,1550,1750,1815,1868,1940,2040,2183,2300,2450,2600,2599.4505494505493,2697.986813186813
PADDY(Grade A),1345,1400,1450,1510,1580,1770,1835,1888,1960,2060,2203,2320,2470,2630,2615.4395604395604,2712.5362637362637
JOWAR(Hybrid),1500,1530,1570,1625,1750,2430,2550,2620,2738,2970,3180,3371,3550,3700,3907.230769230769,4094.0615384615385
JOWAR(Maldandi),1520,1550,1590,1650,1780,2450,2570,2640,2758,2995,3215,3421,3600,3800,3967.5054945054944,4158.03956043956
BAJRA,1250,1250,1275,1330,1400,1950,2000,2150,2250,2350,2500,2625,2750,2900,3055.0,3195.857142857143
RAGI,1500,1550,1650,1725,1800,2897,3150,3295,3377,3578,3877,4290,4500,4700,5025.296703296703,5296.393406593406
MAIZE,1310,1310,1325,1365,1450,1700,1760,1850,1870,1962,2090,2225,2350,2500,2503.32967032967,2598.3736263736264
TUR (ARHAR),4300,4350,4625,5050,5250,5675,5800,6000,6300,6600,7000,7550,7800,8050,8258.516483516483,8556.31868131868
MOONG,4500,4600,4850,5225,5400,6975,7050,7196,7275,7755,8558,8682,8800,8950,9723.505494505494,10107.439560439561
URAD,4300,4350,4625,5000,5100,5600,5700,6000,6300,6600,6900,7400,7550,7700,8040.384615384615,8320.76923076923
GROUNUT,4000,4000,4030,4220,4350,4890,5090,5275,5550,5850,6377,6783,6900,7100,7322.076923076923,7589.63956043956
SUNFLOWER SEED(Yellow),3700,3750,3800,3950,4100,5388,5650,5885,6015,6400,6956,7280,7400,7550,8133.21978021978,8476.468131868132
SOYABEAN (yellow),2560,2560,2600,2775,2900,3399,3710,3880,3950,4300,4620,4892,5000,5150,5431.186813186813,5657.287912087912
SESAMUM,4500,4600,4700,5000,5100,6248,6485,6855,7307,7830,8265,9267,9400,9550,10083.54945054945,10522.241758241758
NIGERSEED,3500,3600,3650,3825,3900,5877,5940,6695,6930,7287,7750,8000,8200,8400,9294.087912087913,9737.547252747254
